date,Mkt-RF,SMB,HML,RMW,CMA,RF,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,CRSP_SPvw,CRSP_SPvwx,delta_Index
196608,-0.0791,-0.031200000000000002,0.0043,-0.0009,0.008,0.0040999999999999995,77.1,2.87,5.49333,0.5749546555726082,0.0496,0.053099999999999994,0.0583,0.0499,0.02147027133695566,0.0040999999999999995,0.006153846153846176,-0.0206,-0.0259,0.003165234678005566,-0.07165,-0.077487,-0.0777511961722488
196609,-0.0106,-0.011399999999999999,0.005600000000000001,-0.0168,0.023700000000000002,0.004,76.56,2.89,5.51,0.5854924956730645,0.0537,0.054900000000000004,0.060899999999999996,0.048,0.016984458547554662,0.004,0.0,0.0332,0.0078,0.0016003107116250844,-0.006244,-0.007692,-0.007003891050583522
196610,0.038599999999999995,-0.0645,0.0269,-0.0348,0.0425,0.0045000000000000005,80.2,2.88333,5.52333,0.56166131810128,0.0535,0.0541,0.061,0.0467,0.015184079732658656,0.0045000000000000005,0.006116207951070152,0.0228,0.0261,0.002546776640774611,0.048333,0.047244,0.04754440961337503
196611,0.013999999999999999,0.0334,-0.046900000000000004,0.041299999999999996,-0.0662,0.004,80.45,2.87667,5.53667,0.572644929824783,0.053200000000000004,0.0535,0.0613,0.048,0.01754963729834962,0.004,0.0,-0.0148,-0.002,0.0007744163149016078,0.011223,0.003741,0.0031172069825435855
196612,0.0013,0.0202,-0.011899999999999999,0.006999999999999999,-0.0034000000000000002,0.004,80.33,2.87,5.55,0.5769451055759905,0.0496,0.053899999999999997,0.061799999999999994,0.0455,0.017207629499393914,0.004,0.0,0.0413,0.0201,0.0006269420700952824,0.000326,-0.001089,-0.0014916096954630254
196701,0.0815,0.091,0.0227,0.0096,-0.0316,0.0043,86.61,2.88,5.51667,0.5333631411123793,0.0472,0.052000000000000005,0.059699999999999996,0.0448,0.0156975215190902,0.0043,0.0,0.0154,0.045,0.0007334878431993827,0.079215,0.077723,0.07817751773932535
196702,0.0078000000000000005,0.030600000000000002,-0.0222,0.0199,-0.009899999999999999,0.0036,86.78,2.89,5.48333,0.5400478930626541,0.045599999999999995,0.050300000000000004,0.0582,0.0465,0.01770093105536721,0.0036,0.0,-0.0221,-0.0201,0.0004124037219870662,0.007514,0.00242,0.001962821845052476
196703,0.039900000000000005,0.0187,0.0037,0.0086,-0.016,0.0039000000000000003,90.2,2.9,5.45,0.5495507979399062,0.0426,0.0513,0.058499999999999996,0.0455,0.014921235146063794,0.0039000000000000003,0.003039513677811634,0.0198,0.0117,0.0005011362075850718,0.041137,0.039544,0.039410002304678615
196704,0.038900000000000004,0.0043,-0.0248,0.0233,-0.036699999999999997,0.0032,94.01,2.9,5.41,0.5305166936068224,0.0384,0.051100000000000007,0.0583,0.0477,0.015045876646046698,0.0032,0.003030303030303161,-0.0291,-0.0071,0.0008370969069925273,0.043371,0.042544,0.042239467849223944
196705,-0.0433,0.0229,0.0109,-0.0173,0.0173,0.0033,89.08,2.9,5.37,0.5582011823214789,0.036000000000000004,0.0524,0.0596,0.0482,0.011464093859269761,0.0033,0.0030211480362538623,-0.0039,-0.0254,0.0008903396231535441,-0.04681,-0.052314,-0.05244122965641962
196706,0.0241,0.0643,0.0085,-0.0062,-0.0242,0.0027,90.64,2.9,5.33,0.5532048450468463,0.0354,0.054400000000000004,0.061500000000000006,0.0507,0.010152823510070848,0.0027,0.0030120481927708997,-0.0312,-0.0223,0.0010707327571480442,0.019319,0.018015,0.017512348450830828
196707,0.0458,0.0354,0.0273,0.0048,0.027000000000000003,0.0031,94.75,2.90667,5.32,0.5262983278775546,0.0421,0.0558,0.0626,0.0505,0.0066870034980100485,0.0031,0.0030030030030030463,0.0068,0.0041,0.00021844692810296147,0.046454,0.045623,0.045344218887908294
196708,-0.0089,0.0072,0.0144,0.003,0.014499999999999999,0.0031,93.64,2.91333,5.31,0.5280209477526656,0.042699999999999995,0.0562,0.0633,0.0514,0.005841314699760627,0.0031,0.0029940119760478723,-0.0084,-0.0007,0.00029661791501019733,-0.006824,-0.012197,-0.011715039577836373
196709,0.0311,0.024399999999999998,-0.025,0.002,-0.0095,0.0032,96.71,2.92,5.3,0.5135648457902575,0.044199999999999996,0.0565,0.064,0.0517,0.005599816278769475,0.0032,0.0029850746268658135,-0.0004,0.0094,0.0003585438170942761,0.033815,0.032597,0.032785134557881124
196710,-0.030899999999999997,0.0053,-0.033,0.0101,-0.0262,0.0039000000000000003,93.9,2.92,5.31,0.5409552822424807,0.045599999999999995,0.0582,0.0652,0.0549,0.0037152212921777016,0.0039000000000000003,0.0029761904761904656,-0.04,-0.0281,0.0004449024953697818,-0.027448,-0.028701,-0.02905594044049209
196711,0.0037,-0.0004,-0.017,0.0134,-0.023399999999999997,0.0036,94.0,2.92,5.32,0.543382697160343,0.0473,0.060700000000000004,0.0672,0.0567,0.002772998210728787,0.0036,0.0029673590504448732,-0.0196,-0.0272,0.000954782524756538,0.006435,0.000533,0.0010649627263044081
196712,0.0305,0.0575,-0.0053,-0.008100000000000001,0.0013,0.0033,96.47,2.92,5.33,0.525792445117168,0.049699999999999994,0.061900000000000004,0.0693,0.0556,0.014361110027660029,0.0033,0.002958579881656931,0.0192,0.0127,0.0002708991606293759,0.027079,0.025857,0.026276595744680886
196801,-0.0406,0.0451,0.048,-0.0462,0.0646,0.004,92.24,2.93,5.36667,0.5563023834851017,0.05,0.0617,0.0684,0.0536,0.01285423537356966,0.004,0.005899705014749346,0.0328,0.0361,0.0004833189350448043,-0.041875,-0.043523,-0.04384782834041678
196802,-0.0375,-0.0291,0.0128,-0.0016,0.0245,0.0039000000000000003,89.36,2.94,5.40333,0.5662105889351576,0.049800000000000004,0.061,0.068,0.0542,0.010450810193127666,0.0039000000000000003,0.0029325513196480912,-0.0033,0.0037,0.0008204453063018298,-0.0269,-0.031973,-0.031222896790980004
196803,0.002,-0.0159,-0.0059,0.0105,-0.011000000000000001,0.0038,90.2,2.95,5.44,0.5668098064638919,0.051699999999999996,0.0611,0.06849999999999999,0.056,0.012677245923167827,0.0038,0.0029239766081869956,-0.0212,-0.0197,0.0013954810358281918,0.009696,0.008585,0.009400179051029633
196804,0.09050000000000001,0.061799999999999994,-0.0113,0.0269,-0.0365,0.0043,97.59,2.96333,5.48333,0.5223520641950407,0.0538,0.0621,0.0697,0.0547,0.008140239388126025,0.0043,0.00291545189504383,0.0227,0.0048,0.0016075746379292835,0.084092,0.082642,0.081929046563193
196805,0.022799999999999997,0.07,0.0085,0.0043,-0.0192,0.0045000000000000005,98.68,2.97667,5.52667,0.5300333704115684,0.056600000000000004,0.06269999999999999,0.0703,0.0547,0.010646500945249594,0.0045000000000000005,0.0029069767441860517,0.0043,0.0032,0.00038653102139201936,0.016374,0.011104,0.011169177169791933
196806,0.0069,-0.0028000000000000004,0.0073,-0.0141,0.0276,0.0043,99.58,2.99,5.57,0.5307418133214524,0.0552,0.06280000000000001,0.0707,0.0534,0.012090181412477469,0.0043,0.005797101449275477,0.023,0.0122,0.0004995047042005234,0.009916,0.008695,0.00912038913660318
196807,-0.027200000000000002,-0.0141,0.053899999999999997,-0.0313,0.037200000000000004,0.0048,97.74,3.00333,5.6,0.5396375990939978,0.053099999999999994,0.062400000000000004,0.0698,0.0517,0.01388552775363401,0.0048,0.0057636887608067955,0.0289,0.0341,0.0007566192973929713,-0.017444,-0.018664,-0.018477605944968944
196808,0.0134,0.0227,0.0101,-0.006999999999999999,0.0048,0.0042,98.86,3.01667,5.63,0.5318021004229864,0.0509,0.0602,0.0682,0.052,0.018035137689828683,0.0042,0.002865329512893977,-0.0003,0.0206,0.0003164033573881045,0.016415,0.011259,0.01145897278493968
196809,0.0403,0.0281,0.003,-0.0199,0.0087,0.0043,102.67,3.03,5.66,0.5091954391476721,0.0519,0.059699999999999996,0.0679,0.0531,0.0182871234462752,0.0043,0.0028571428571428914,-0.0102,-0.0053,0.0002682316574578456,0.039351,0.03821,0.03853934857374064
196810,0.0042,-0.0042,0.0286,-0.0132,0.027000000000000003,0.0044,103.41,3.04333,5.69333,0.5003202469576539,0.0535,0.060899999999999996,0.0684,0.0543,0.019410181952969365,0.0044,0.005698005698005604,-0.0132,-0.016,0.0002684030204878884,0.008587,0.006751,0.007207558196162367
196811,0.054299999999999994,0.0239,-0.0092,0.0043,-0.024300000000000002,0.0042,108.37,3.05667,5.72667,0.48371705851301416,0.0545,0.061900000000000004,0.0701,0.0566,0.02118878551231064,0.0042,0.0028328611898016387,-0.0269,-0.0226,0.0002629657863405989,0.05358,0.048659,0.04796441349966152
196812,-0.0394,0.0352,-0.0001,-0.018600000000000002,0.0176,0.0043,103.86,3.07,5.76,0.5049006622516556,0.0596,0.0645,0.0723,0.0598,0.03196144670421363,0.0043,0.0028248587570622874,-0.0363,-0.0233,0.00033397510071427305,-0.040826,-0.042141,-0.04161668358401771
196901,-0.0125,-0.0044,0.0167,-0.0155,0.0138,0.0053,103.01,3.08,5.78,0.5036731673801597,0.061399999999999996,0.0659,0.0732,0.0617,0.036524492439944,0.0053,0.0028169014084507005,-0.0206,0.0139,0.0006067702772336472,-0.007547,-0.008612,-0.008184093972655404
196902,-0.0584,-0.0416,0.0091,0.0207,0.0083,0.0046,98.13,3.09,5.8,0.5263971896024127,0.061200000000000004,0.0666,0.073,0.0618,0.0413173288012826,0.0046,0.00561797752808979,0.0042,-0.016,0.0005955962528750203,-0.042321,-0.047384,-0.047374041355208285
196903,0.0264,-0.0045000000000000005,-0.0051,-0.0143,-0.0034999999999999996,0.0046,101.51,3.1,5.82,0.5570402360285629,0.0602,0.06849999999999999,0.0751,0.062,0.03950800385709243,0.0046,0.008379888268156499,0.001,-0.02,0.0005416310257819913,0.034847,0.033599,0.03444410475899318
196904,0.0146,-0.008,-0.0003,0.0040999999999999995,0.0006,0.0053,103.69,3.11,5.82667,0.5484224041760509,0.0611,0.0689,0.0754,0.0593,0.0442909516712131,0.0053,0.005540166204986097,0.0427,0.0335,0.0005504122158703899,0.022771,0.021449,0.021475716678159618
196905,-0.001,-0.0011,0.006999999999999999,-0.0095,0.0139,0.0048,103.46,3.12,5.83333,0.555804428516575,0.0604,0.0679,0.07519999999999999,0.0635,0.04400564584288879,0.0048,0.0027548209366392573,-0.049,-0.0227,0.00042689743733280905,0.003854,-0.001862,-0.0022181502555694843
196906,-0.0718,-0.0545,-0.0108,0.0432,-0.016,0.0051,97.71,3.13,5.84,0.596777333684536,0.0644,0.0698,0.077,0.0623,0.04515276034884265,0.0051,0.005494505494505475,0.0214,0.0035,0.0007522369142320766,-0.054357,-0.055686,-0.05557703460274499
196907,-0.07,-0.0341,0.012,0.0148,0.0191,0.0053,91.83,3.13667,5.85667,0.6390179896256147,0.07,0.0708,0.0784,0.0621,0.05116088621738784,0.0053,0.005464480874316724,0.0079,0.0005,0.0023056499844712293,-0.058632,-0.059919,-0.06017807798587649
196908,0.046799999999999994,0.006999999999999999,-0.0379,0.0113,-0.04019999999999999,0.005,95.51,3.14333,5.87333,0.6227889855626733,0.0698,0.0697,0.0786,0.063,0.04691475266285588,0.005,0.005434782608695787,-0.0069,-0.002,0.0009182338133264014,0.045728,0.04018,0.0400740498747687
196909,-0.0298,0.0129,-0.0327,0.0339,-0.008199999999999999,0.0062,93.12,3.15,5.89,0.6408884625318231,0.0709,0.07139999999999999,0.0805,0.0677,0.04839122444917516,0.0062,0.002702702702702675,-0.0531,-0.0244,0.0008915878476120781,-0.023941,-0.025285,-0.025023557742644753
196910,0.0506,0.039599999999999996,-0.0316,0.0005,-0.0215,0.006,97.24,3.15333,5.85333,0.6087687940279677,0.07,0.0733,0.08220000000000001,0.0653,0.04863028112808978,0.006,0.005390835579514697,0.0365,0.0127,0.0007537233048115984,0.0469,0.044661,0.044243986254295375
196911,-0.0379,-0.0245,-0.011899999999999999,0.0146,0.003,0.0052,93.81,3.15667,5.81667,0.6415117567401207,0.0724,0.0735,0.0825,0.0676,0.04790400933574238,0.0052,0.00536193029490617,-0.0243,-0.0471,0.0005091361969821394,-0.029152,-0.034433,-0.03527354997943222
196912,-0.0263,-0.037599999999999995,-0.0286,0.0254,-0.0181,0.0064,92.06,3.16,5.78,0.6510820130941076,0.0782,0.07719999999999999,0.08650000000000001,0.0687,0.034273783303565106,0.0064,0.005333333333333412,-0.0068,-0.0134,0.0011635548351533978,-0.016922,-0.018365,-0.01865472764097642
197001,-0.081,0.031200000000000002,0.0313,-0.0172,0.0384,0.006,85.02,3.16333,5.73,0.7003467462301428,0.0787,0.0791,0.0886,0.0693,0.03447320797551426,0.006,0.0026525198938991412,-0.0021,0.0141,0.001067097271218063,-0.075398,-0.076809,-0.0764718661742343
